"gene_group","tissue_main","tissue_other","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"tandem paralogs","Testis","Pituitary"," 1.32147537075325e-04"," 1.16793662568513e-03","***","**"
"tandem paralogs","Testis","Skin"," 2.09374341080283e-09"," 5.14085111403061e-09","****","****"
"tandem paralogs","Testis","Spleen"," 8.93726385912975e-09"," 4.42604842612684e-08","****","****"
"tandem paralogs","Testis","Thyroid"," 3.40064487374319e-09"," 1.15246817664368e-08","****","****"
"tandem paralogs","Testis","Lung"," 2.48830170733016e-10"," 5.85348645276421e-10","****","****"
"tandem paralogs","Muscle","Adipose"," 1.22898234311226e-03"," 3.59661117326794e-04","**","***"
"tandem paralogs","Muscle","Adrenal"," 4.65329766586823e-04"," 4.91090999123410e-04","***","***"
"tandem paralogs","Muscle","Brain"," 5.44341641289255e-14"," 4.96664056499862e-14","****","****"
"tandem paralogs","Muscle","Colon"," 1.16381474511285e-01"," 1.49176902381186e-01","ns","ns"
"tandem paralogs","Muscle","Heart"," 9.42654467979050e-01"," 6.34407647847791e-01","ns","ns"
"tandem paralogs","Muscle","Liver"," 3.96914092866203e-04"," 1.70458231142066e-03","***","**"
"tandem paralogs","Muscle","Pituitary"," 2.07002217976414e-12"," 6.19832802094797e-12","****","****"
"tandem paralogs","Muscle","Skin"," 2.48626356263329e-04"," 1.13063146809285e-03","***","**"
"tandem paralogs","Muscle","Spleen"," 7.30131632081428e-06"," 1.14248182123202e-05","****","****"
"tandem paralogs","Muscle","Thyroid"," 8.78827457036246e-06"," 3.43384477236291e-05","****","****"
"tandem paralogs","Muscle","Lung"," 7.55801869676078e-04"," 9.39208620569832e-04","***","***"
"tandem paralogs","Muscle","Testis"," 1.74472322419803e-13"," 4.55605956138733e-14","****","****"
"tandem paralogs","Brain","Adipose"," 4.32835566470159e-08"," 1.91454504692911e-05","****","****"
"tandem paralogs","Brain","Adrenal"," 2.14068992275216e-07"," 2.23752389927326e-06","****","****"
"tandem paralogs","Brain","Colon"," 3.84221446508657e-12"," 6.73725517964265e-11","****","****"
"tandem paralogs","Brain","Heart"," 4.50644529685809e-17"," 1.57059888456637e-19","****","****"
"tandem paralogs","Brain","Liver"," 8.55221527029824e-09"," 3.93149597888331e-08","****","****"
"tandem paralogs","Brain","Muscle"," 5.44341641289255e-14"," 4.96664056499862e-14","****","****"
"tandem paralogs","Brain","Pituitary"," 4.10212485636934e-01"," 6.12004258559954e-01","ns","ns"
"tandem paralogs","Brain","Skin"," 4.41209757851209e-07"," 1.76201494582585e-06","****","****"
"tandem paralogs","Brain","Spleen"," 4.95779243863487e-06"," 2.15318360763717e-05","****","****"
"tandem paralogs","Brain","Thyroid"," 3.18763698141088e-06"," 2.50863539256509e-06","****","****"
"tandem paralogs","Brain","Lung"," 1.85287792157153e-09"," 1.93618959357783e-08","****","****"
"tandem paralogs","Brain","Testis"," 3.51067610774198e-04"," 2.92590386142694e-03","***","**"
